,Names,Series_Amount,Series_Date,Series_Type
435,Eden-Park-Illumination,"$3,777,875","Feb  3, 2010",Series_A
439,iSkoot,"$6,200,000","Nov 29, 2006",Series_A
440,iLike,"$2,500,000","Jan  1, 2006",Series_A
442,Lyst,"$5,000,000","Jul 12, 2012",Series_A
444,ProspX,"$6,500,000","Dec 15, 2008",Series_A
450,Icetana,"$1,400,000","Apr 16, 2010",Series_A
454,Drobo,"$6,000,000","Oct 24, 2005",Series_A
455,Next-New-Networks,"$8,000,000","Jan  1, 2007",Series_A
458,Kantox,"$8,500,000","Feb 12, 2014",Series_A
460,Visual-IQ,"$3,000,000","Aug 20, 2010",Series_A
462,Miso,"$1,500,000","Dec 12, 2010",Series_A
464,ServiceNow,"$2,500,000","Jul  5, 2005",Series_A
465,Whisper,"$3,000,000","Apr  4, 2013",Series_A
474,Hyperic,"$3,800,000","May 10, 2006",Series_A
475,JimuBox,"$10,000,000","Feb  1, 2014",Series_A
477,Between,"$3,000,000","Jan  1, 2013",Series_A
483,Timebridge,"$1,400,000","Jul  5, 2005",Series_A
484,Unigo,"$1,000,000","Oct 26, 2009",Series_A
485,KuponGid,"$500,000","Jan 10, 2012",Series_A
487,Zoosk,"$400,000","Nov  1, 2007",Series_A
493,Xhale,"$2,600,000","Dec 31, 2006",Series_A
497,Alethia-BioTherapeutics,"$9,200,000","Sep  7, 2010",Series_A
499,Renkoo,"$3,000,000","Apr  1, 2006",Series_A
500,Vertos-Medical,"$725,000","Apr 25, 2006",Series_A
503,PureVideo-Networks,"$5,600,000","Dec  1, 2005",Series_A
504,BookShout,"$2,000,000","Nov 15, 2011",Series_A
506,StepOut,"$3,000,000","Feb 10, 2011",Series_A
507,Xometry,"$4,000,000","Oct  1, 2013",Series_A
513,Innovid,"$3,000,000","Jan  1, 2008",Series_A
515,PerkStreet-Financial,"$6,000,000","Jan  1, 2009",Series_A
517,Automatic,"$5,300,000","Jun 25, 2013",Series_A
518,TurnHere,"$7,500,000","Feb 15, 2008",Series_A
519,RiskIQ,"$10,000,000","Jul 18, 2013",Series_A
521,Exosome-Diagnostics,"$20,000,000","May 11, 2010",Series_A
522,Mendix,"$13,000,000","Oct 31, 2011",Series_A
524,B-Side-Entertainment,"$3,100,000","Oct 11, 2006",Series_A
525,Rx-Networks,"$3,300,000","May  3, 2007",Series_A
527,Tapjoy,"$4,500,000","Jun 26, 2007",Series_A
528,Bellabox,"$1,400,000","Jan 21, 2013",Series_A
530,NuoDB,"$10,000,000","Dec  1, 2010",Series_A
531,Zannel,"$6,000,000","Oct  4, 2006",Series_A
533,Brightwhistle,"$2,100,000","Aug 10, 2012",Series_A
536,Sialix,"$1,800,000","Jan  1, 2011",Series_A
538,Daylight-Solutions,"$7,500,000","Jun 28, 2006",Series_A
542,Yola,"$5,000,000","Nov  1, 2007",Series_A
544,Applause,"$2,300,000","Oct  1, 2007",Series_A
545,Solidfire,"$11,000,000","Feb  2, 2011",Series_A
546,Sencha,"$14,000,000","Jun 23, 2010",Series_A
548,clypd,"$7,200,000","Nov 21, 2013",Series_A
549,MaxWest-Environmental-Systems,"$10,000,000","Aug 18, 2008",Series_A
552,Nimbula,"$5,750,000","Jun 23, 2010",Series_A
554,Vangard-Voice-Systems,"$3,000,000","Oct 23, 2006",Series_A
556,Sentillion,"$2,700,000","Mar  1, 1999",Series_A
560,Lifeshield-Security,"$6,600,000","Sep  1, 2004",Series_A
561,ImmuneXcite,"$2,500,000","Jan  4, 2012",Series_A
568,Medivo,"$7,000,000","Nov 17, 2011",Series_A
571,BuddyTV,"$2,800,000","Jul  1, 2007",Series_A
572,BetterCloud,"$5,050,000","Jan 10, 2013",Series_A
573,Anthemis-Group,"$10,900,000","Dec 15, 2011",Series_A
574,Berkeley-Design-Automation,"$11,250,000","Dec 28, 2002",Series_A
575,Airship-Ventures,"$8,000,000","May  9, 2008",Series_A
577,CrowdTwist,"$6,000,000","Sep 19, 2011",Series_A
580,Bloomreach,"$5,000,000","Sep  1, 2008",Series_A
581,LogMeIn,"$10,000,000","Nov  1, 2004",Series_A
583,Centrillion-Biosciences,"$7,500,000","Apr  1, 2010",Series_A
585,Heartland-Robotics,"$7,000,000","Aug 21, 2009",Series_A
586,MarkLogic,"$6,000,000","Jan  1, 2002",Series_A
587,Massdrop,"$6,500,000","Sep  1, 2014",Series_A
588,Grovo,"$5,500,000","Jul 17, 2013",Series_A
589,Sakti3,"$2,000,000","Jan  1, 2009",Series_A
590,SpineGuard,"$4,000,000","Sep 15, 2009",Series_A
592,TripleLift,"$4,000,000","Mar  5, 2014",Series_A
