Unnamed: 0,mean_neg,mean_pos,total_neg,total_pos
111595.5,0.080555382,0.020484654,0.1,0
146063.5,0.090559646,0.051112304,0.166666667,0.041666667
12136,0.015813492,0.04057209,0,0
74127.5,0.028715712,0.048294624,0.025,0.05
54101,0.050893031,0.068576998,0.333333333,0.333333333
125809,0.025193334,0.106335188,0.142857143,0.285714286
98217,0.010416667,0.046875,0,0
172844.5,0.017345931,0.036089306,0.020833333,0.020833333
193294.5,0.03692224,0.049650408,0,0.043478261
133266.5,0.017241675,0.043282398,0,0
97408,0.067389391,0.055327368,0.072164948,0.010309278
27969.5,0.027211972,0.065103821,0.03125,0.125
145519,0.03379652,0.053266034,0.027027027,0.054054054
185371,0.047856552,0.054136466,0.027027027,0.054054054
33770.5,0.035479048,0.060511661,0.033333333,0.094444444
103104,0.041076277,0.063670832,0.046153846,0.066666667
47421.5,0.024817097,0.038473718,0.038461538,0.057692308
180321.5,0,0,0,0
180387,0.029825666,0.055371686,0.015503876,0.007751938
33679.5,0,0,0,0
103202,0,0,0,0
46423,0.027737663,0.047525773,0.014184397,0.028368794
153740.5,0.025318245,0.044431801,0,0.029411765
77717,0.034673894,0.045516762,0.021276596,0.021276596
59723,0.024916427,0.031602237,0.01369863,0.04109589
12720.5,0.046494004,0.051526024,0.03125,0.0625
42129.5,0.016764571,0.070021729,0,0.092307692
131820,0.067708333,0.071811869,0,0
88125.5,0.016230825,0.028242342,0,0
16764.5,0.011341841,0.053166787,0,0.055555556
118707.5,0.038594197,0.057869613,0.023809524,0.023809524
161090.5,0.030995692,0.056026857,0.005952381,0.06547619
13573,0.035833137,0.071661191,0.068965517,0.114942529
113560.5,0.02294434,0.064092871,0,0.066037736
189132,0.033377203,0.070856831,0.061946903,0.061946903
121115,0.075,0.024166667,0,0
64693.5,0,0,0,0
230,0,0,0,0
94320,0.024057319,0.03310502,0,0.047619048
164582,0.030015646,0.070710517,0,0.129032258
51213.5,0.047686237,0.030865737,0.05,0.025
122169.5,0.014786173,0.047085715,0,0.036585366
39614.5,0.034699607,0.035077712,0.022222222,0.044444444
110094,0.025993159,0.066871756,0,0.09009009
161333,0.004902789,0.012907912,0,0
130753,0,0,0,0
168588.5,0,0,0,0
34184,0,0,0,0
