,Company,-1,0,1,Series_Type
470,kellbenx,1.0,0.0,0.0,Series_C
471,kenandy,0.0,0.0,1.0,Series_B
472,kewego,0.0,0.0,1.0,Series_A
473,kidaptive,0.0,0.0,1.0,Series_A
474,kidzui,1.0,0.0,0.0,Series_C
475,kiip,0.0,0.0,1.0,Series_A
476,kindling,0.0,0.0,1.0,Series_B
477,kinvey,0.0,0.0,1.0,Series_A
478,kinvey,0.0,0.0,1.0,Series_B
479,kitcheck,0.0,0.0,1.0,Series_A
480,klout,0.0,0.0,1.0,Series_A
481,klout,0.0,0.0,1.0,Series_C
482,knowledgetree,0.0,0.0,1.0,Series_A
483,knowledgetree,0.0,0.0,1.0,Series_B
484,koding,0.0,0.0,1.0,Series_B
485,kontera,0.0,0.0,1.0,Series_C
486,kosmix,0.0,0.0,1.0,Series_C
487,kosmix,0.0,0.0,1.0,Series_D
488,kupongid,0.0,1.0,0.0,Series_A
489,kyruus,0.0,0.0,1.0,Series_C
490,latticeengines,0.0,0.0,1.0,Series_C
491,leapset,0.0,0.0,1.0,Series_A
492,learnvest,0.0,0.0,1.0,Series_A
493,learnvest,0.0,0.0,1.0,Series_C
494,leisurelink,0.0,0.0,1.0,Series_B
495,levelup,0.0,0.0,1.0,Series_B
496,levelup,0.0,0.0,1.0,Series_D
497,librato,0.0,0.0,1.0,Series_B
498,lifebond,0.0,0.0,1.0,Series_C
499,limeade,0.0,0.0,1.0,Series_B
500,limeroad,0.0,0.0,1.0,Series_B
501,link_a_media,0.0,0.0,1.0,Series_B
502,link_a_media,0.0,0.0,1.0,Series_D
503,liquidhub,0.0,0.0,1.0,Series_B
504,liquidplanner,0.0,0.0,1.0,Series_B
505,littlebits,0.0,0.0,1.0,Series_A
506,littleblackbag,0.0,0.0,1.0,Series_A
507,liveintent,0.0,0.0,1.0,Series_C
508,liverail,0.0,0.0,1.0,Series_A
509,liveu,0.0,0.0,1.0,Series_C
510,liveu,0.0,0.0,1.0,Series_D
511,livingproof,0.0,0.0,1.0,Series_B
512,loaddynamix,0.0,0.0,1.0,Series_B
513,localytics,0.0,0.0,1.0,Series_B
514,lockerz,0.0,0.0,1.0,Series_C
515,lockpath,0.0,0.0,1.0,Series_A
516,loggly,0.0,0.0,1.0,Series_B
517,loggly,0.0,0.0,1.0,Series_C
518,logmein,0.0,0.0,1.0,Series_B
519,logmein,0.0,0.0,1.0,Series_C
520,loopcommerce,0.0,0.0,1.0,Series_A
521,lot18,0.0,0.0,1.0,Series_B
522,lotame,0.0,0.0,1.0,Series_B
523,lotame,0.0,0.0,1.0,Series_C
524,lotame,0.0,0.0,1.0,Series_D
525,lucidmedia,0.0,0.0,1.0,Series_C
526,luminate,0.0,0.0,1.0,Series_A
527,luminate,0.0,0.0,1.0,Series_B
528,luminate,0.0,0.0,1.0,Series_C
529,lumoslabs,0.0,0.0,1.0,Series_A
530,lyst,0.0,0.0,1.0,Series_C
531,lytro,0.0,0.0,1.0,Series_A
532,madvertise,0.0,1.0,0.0,Series_B
533,magnetic,0.0,0.0,1.0,Series_A
534,mahalo,0.0,0.0,1.0,Series_A
535,mashable,0.0,0.0,1.0,Series_B
536,mashery,0.0,0.0,1.0,Series_B
537,mashery,0.0,0.0,1.0,Series_C
538,mashery,0.0,0.0,1.0,Series_D
539,masteryconnect,0.0,0.0,1.0,Series_A
540,mavenlink,0.0,0.0,1.0,Series_C
541,maxwellhealth,0.0,0.0,1.0,Series_A
542,maxymiser,0.0,0.0,1.0,Series_B
543,mediaplatform,0.0,0.0,1.0,Series_A
544,mediastay,0.0,0.0,1.0,Series_B
545,meebo,0.0,0.0,1.0,Series_B
546,meebo,0.0,0.0,1.0,Series_D
547,meetup,0.0,0.0,1.0,Series_A
548,meetup,0.0,0.0,1.0,Series_B
549,meetup,0.0,0.0,1.0,Series_C
550,meevee,0.0,0.0,1.0,Series_B
551,meevee,0.0,0.0,1.0,Series_D
552,memento,0.0,0.0,1.0,Series_D
553,memeo,0.0,0.0,1.0,Series_B
554,memeo,0.0,0.0,1.0,Series_C
555,memsql,0.0,0.0,1.0,Series_B
556,mendix,0.0,0.0,1.0,Series_B
557,mercatormedsystems,0.0,0.0,1.0,Series_B
558,metaboli,0.0,0.0,1.0,Series_C
559,metabolon,0.0,0.0,1.0,Series_D
560,mevio,0.0,0.0,1.0,Series_A
561,mevio,0.0,0.0,1.0,Series_C
562,mig33,0.0,0.0,1.0,Series_B
563,milyoni,0.0,0.0,1.0,Series_A
564,mindmixer,0.0,0.0,1.0,Series_A
565,mindmixer,0.0,0.0,1.0,Series_C
566,misfit,1.0,0.0,0.0,Series_C
567,miso,0.0,0.0,1.0,Series_A
568,miso,0.0,0.0,1.0,Series_B
569,mixbook,0.0,0.0,1.0,Series_A
570,mixercast,0.0,0.0,1.0,Series_B
571,moat,0.0,0.0,1.0,Series_B
572,mobango,0.0,0.0,1.0,Series_B
573,moblyng,0.0,1.0,0.0,Series_A
574,moblyng,0.0,1.0,0.0,Series_C
575,mokafive,0.0,0.0,1.0,Series_B
576,mongolab,0.0,0.0,1.0,Series_A
577,moogsoft,0.0,0.0,1.0,Series_A
