Company,Series_Type
histosonics,Series_A
kewego,Series_A
terragotechnologies,Series_A
gridstore,Series_A
91jinrong,Series_A
truviso,Series_A
sendio,Series_A
conviva,Series_A
talarinetworks,Series_A
acemetrix,Series_A
xendexholding,Series_B
skyreconsystems,Series_B
roblox,Series_B
ablelending,Series_B
superpedestrian,Series_B
radiatemedia,Series_B
mashable,Series_B
crimsonhexagon,Series_B
theclymb,Series_B
honeybook,Series_B
nabsys,Series_B
vlst,Series_B
duetto,Series_B
teneros,Series_B
dreamlines,Series_B
samsoft,Series_B
jamtechnologies,Series_B
rempexpharmaceuticals,Series_B
elastra,Series_B
carnegiespeech,Series_B
reloadedgames,Series_B
vivox,Series_B
embotics,Series_B
scalecomputing,Series_B
nxthera,Series_B
lendkeytechnologies,Series_B
ifbyphone,Series_B
federatedmedia,Series_B
extrahopnetworks,Series_B
procoretechnologies,Series_B
iprint,Series_B
multiwavephotonics,Series_B
datalogix,Series_B
trustdigital,Series_B
twistbioscience,Series_B
xmpie,Series_B
deliveroo,Series_B
loxooncology,Series_B
sarcodebioscience,Series_B
qteros,Series_B
mistralsolutions,Series_B
wize,Series_B
sophiagenetics,Series_B
genalyte,Series_B
truist,Series_B
knoppneurosciences,Series_B
premise,Series_B
dreamerzfoods,Series_B
panoptica,Series_B
xerispharmaceuticals,Series_B
quantason,Series_B
liquidplanner,Series_B
eosenergystorage,Series_B
orayatherapeutics,Series_B
optify,Series_B
spongecell,Series_B
mig33,Series_B
madvertise,Series_B
shapeup,Series_B
satellierinc,Series_B
spokencommunications,Series_B
qualvu,Series_B
nabrivatherapeutics,Series_B
xunlight,Series_B
bladenetworktechnologies,Series_B
ntirety,Series_B
widgetbox,Series_B
dancejam,Series_B
wrapmedia,Series_B
worktopia,Series_B
rhythmiamedical,Series_B
bionostra,Series_B
cirtassystems,Series_B
terascala,Series_B
kenandy,Series_B
instartlogic,Series_B
greenphire,Series_B
betaworks,Series_B
aylanetworks,Series_B
autovirt,Series_B
origenetechnologies,Series_B
aternity,Series_B
greensql,Series_B
flypaper,Series_B
aduratechnologies,Series_B
ipierian,Series_B
vovici,Series_B
spacecurve,Series_B
stemedicacelltechnologies,Series_B
tinyco,Series_B
isolationnetwork,Series_B
aquestsystems,Series_B
apexconstruction,Series_B
ortivawireless,Series_B
rgbnetworks,Series_B
virtualcomputer,Series_B
redmart,Series_B
untangle,Series_B
edgeware,Series_B
exindanetworks,Series_B
glassesdirect,Series_B
brickellbiotech,Series_B
gather,Series_B
motionsoft,Series_B
energyhub,Series_B
akimbisystems,Series_B
sixdegreesgames,Series_B
sbamaterials,Series_B
viadeo,Series_B
brightwateraquaculture,Series_B
gcrisepharmaceutical,Series_B
topschool,Series_B
dotcloud,Series_B
coresecuritytechnologies,Series_B
iskoot,Series_B
ilike,Series_B
streetline,Series_B
prospx,Series_B
breatheamerica,Series_B
purecars,Series_B
bizanga,Series_B
visualiq,Series_B
miso,Series_B
microinterventionaldevices,Series_B
sunvergeenergy,Series_B
unigo,Series_B
openq,Series_B
explorys,Series_B
claretmedical,Series_B
yoolink,Series_B
xhale,Series_B
probiodrug,Series_B
alethiabiotherapeutics,Series_B
deertech,Series_B
purevideonetworks,Series_B
bookshout,Series_B
perkstreetfinancial,Series_B
mendix,Series_B
bsideentertainment,Series_B
toleropharmaceuticals,Series_B
sialix,Series_B
yola,Series_B
applause,Series_B
inspiredtechnologies,Series_B
sentillion,Series_B
digitalorchid,Series_B
flightcar,Series_B
medivo,Series_B
admitonesecurity,Series_B
bettercloud,Series_B
berkeleydesignautomation,Series_B
bloomreach,Series_B
logmein,Series_B
spineguard,Series_B
corasworks,Series_B
supplyframe,Series_B
admeld,Series_B
eightfoldlogic,Series_B
estech,Series_B
secret,Series_B
wayin,Series_B
revision3,Series_B
travelata,Series_B
quantance,Series_B
xogroup,Series_B
pexcard,Series_B
infoscout,Series_B
tenxer,Series_B
identrust,Series_B
astaro,Series_B
datagravity,Series_B
coherexmedical,Series_B
spanning,Series_B
rightscale,Series_B
chukongtechnologies,Series_B
entradeenergiesystemeag,Series_B
scienergy,Series_B
tradesy,Series_B
handmark,Series_B
sharethis,Series_B
powercloudsystems,Series_B
reveal,Series_B
inlettechnologies,Series_B
baublebar,Series_B
netiq,Series_B
nimblestorage,Series_B
mesmateriaux,Series_B
appfirst,Series_B
plasticjungle,Series_B
coub,Series_B
optiminesoftware,Series_B
diablotechnologies,Series_B
whalebacksystems,Series_B
nextmedium,Series_B
alcyonelifesciences,Series_B
currencycloud,Series_B
prestashop,Series_B
gainspeed,Series_B
zecco,Series_B
artspace,Series_B
natrixseparations,Series_B
eyeem,Series_B
conveycomputer,Series_B
counterstorm,Series_B
monitor110,Series_B
daemoniclabs,Series_B
managementhealthsolutions,Series_B
loggly,Series_B
profitably,Series_B
handango,Series_B
librato,Series_B
livingproof,Series_B
nomadesk,Series_B
cruxbiomedical,Series_B
advancedcathetertherapies,Series_B
moogsoft,Series_B
blueapron,Series_B
kaazing,Series_B
spaceclaim,Series_B
cyberheart,Series_B
ucloudinformationtechnology,Series_B
arrayent,Series_B
calpurnia,Series_B
nexawebtechnologies,Series_B
enterprisedb,Series_B
ridecharge,Series_B
aplossoftware,Series_B
reverbnation,Series_B
plastyc,Series_B
greatlakespharmaceuticals,Series_B
duolingo,Series_B
remind,Series_B
tilt,Series_B
convokesystems,Series_B
socrata,Series_B
netdevices,Series_B
virtualinstruments,Series_B
sanovitechnologies,Series_B
aspirehealth,Series_B
bumptechnologies,Series_B
viewfinity,Series_B
chasepharmaceuticals,Series_B
natera,Series_B
xamarin,Series_B
levelup,Series_B
stylistpick,Series_B
affectiva,Series_B
silvertailsystems,Series_B
aylusnetworks,Series_B
surgiquest,Series_B
appliedlogic,Series_B
funplus,Series_B
trellisbioscience,Series_B
icreatesoftware,Series_B
mokafive,Series_B
providertrust,Series_B
mobiusmicrosystems,Series_B
glympse,Series_B
redux,Series_B
inspiremedicalsystems,Series_B
edimerpharmaceuticals,Series_B
esperancepharmaceuticals,Series_B
altarockenergy,Series_B
snowballfinance,Series_B
dachisgroup,Series_B
skyhighnetworks,Series_B
boomi,Series_B
coupasoftware,Series_B
coghead,Series_B
ubidyne,Series_B
nebula,Series_B
diobex,Series_B
balihoo,Series_B
powatechnologies,Series_B
tempopayments,Series_B
billguard,Series_B
qdvision,Series_B
meetup,Series_B
s5wireless,Series_B
metatomix,Series_B
visier,Series_B
cyphort,Series_B
ibotta,Series_B
huddler,Series_B
moeraematrix,Series_B
tailfsystems,Series_B
arborpharmaceuticals,Series_B
