,Company,Series,Total_Likes,Total_Retweets,Avg_Tweets,Series_Amount,Series_Date
172,Providence-Medical-Technology,Series_A,,,,1200000,"Dec 31, 2008"
173,Edgeware,Series_A,,,,1450000,"Jan 26, 2006"
174,Exinda-Networks,Series_A,,,,6000000,"May  1, 2004"
175,Sendia,Series_A,,,,4500000,"Dec  1, 2003"
176,GliaCure,Series_A,,,,2800000,"Apr 25, 2012"
177,Speeddate,Series_A,,,,2600000,"Jan  1, 2007"
178,Swiftype,Series_A,,,,7500000,"Sep 27, 2013"
179,Gather,Series_A,,,,3000000,"Dec  1, 2004"
180,MUJIN,Series_A,,,,950000,"Sep 20, 2012"
181,Vyatta,Series_A,,,,7500000,"Sep 13, 2006"
182,OPX-Biotechnologies,Series_A,,,,3600000,"Dec  6, 2007"
183,QPID-Health,Series_A,,,,4000000,"Mar 20, 2013"
184,MediQuest-Therapeutics,Series_A,,,,16000000,"Jun 15, 2006"
185,Fat-Spaniel-Technologies,Series_A,,,,7000000,"Oct 16, 2006"
186,Glasshouse-Technologies,Series_A,,,,1499900,"Jul  1, 2001"
187,Gemvara,Series_A,,,,5800000,"Jul  1, 2008"
188,Oqo,Series_A,,,,800000,"Dec  1, 2000"
189,Fraudwall-Technologies,Series_A,,,,1100000,"Mar  1, 2007"
190,Arcot-Systems,Series_A,,,,11000000,"May 10, 2005"
191,Six-Degrees-Games,Series_A,,,,7000000,"Jul 29, 2008"
192,WideOrbit,Series_A,,,,2000000,"Jul 14, 1999"
193,Viadeo,Series_A,,,,6380000,"Jun  1, 2006"
194,MediaPlatform,Series_A,,,,3000000,"Jan  1, 2006"
195,Wealthengine,Series_A,,,,5000000,"Mar  1, 2010"
196,NEXAGE,Series_A,,,,4000000,"Jul 10, 2009"
197,UniversityNow,Series_A,,,,4200000,"Dec  1, 2010"
198,ChaCha,Series_A,,,,3000000,"Nov  1, 2006"
199,Sprinklr,Series_A,,,,5000000,"Mar  7, 2012"
200,Startforce,Series_A,,,,1000000,"Sep  1, 2007"
201,Clinicient,Series_A,,,,2100000,"Apr  1, 2009"
202,Shoedazzle,Series_A,,,,7000000,"Nov 19, 2009"
203,Cequent-Pharmaceuticals,Series_A,,,,9000000,"Jun 18, 2007"
204,8D-World,Series_A,,,,7000000,"Mar  1, 2008"
205,TopSchool,Series_A,,,,3200000,"Jun 17, 2008"
206,Wikinvest,Series_A,,,,2500000,"Oct  1, 2007"
207,8-Securities,Series_A,,,,12000000,"Jun 30, 2012"
208,DotCloud,Series_A,,,,10000000,"Mar 22, 2011"
209,Eden-Park-Illumination,Series_A,,,,3777875,"Feb  3, 2010"
210,iSkoot,Series_A,,,,6200000,"Nov 29, 2006"
211,iLike,Series_A,,,,2500000,"Jan  1, 2006"
212,Lyst,Series_A,,,,5000000,"Jul 12, 2012"
213,ProspX,Series_A,,,,6500000,"Dec 15, 2008"
214,Icetana,Series_A,,,,1400000,"Apr 16, 2010"
215,Drobo,Series_A,,,,6000000,"Oct 24, 2005"
216,Next-New-Networks,Series_A,,,,8000000,"Jan  1, 2007"
217,Kantox,Series_A,,,,8500000,"Feb 12, 2014"
218,Visual-IQ,Series_A,,,,3000000,"Aug 20, 2010"
219,Miso,Series_A,,,,1500000,"Dec 12, 2010"
220,ServiceNow,Series_A,,,,2500000,"Jul  5, 2005"
221,Whisper,Series_A,,,,3000000,"Apr  4, 2013"
222,Hyperic,Series_A,,,,3800000,"May 10, 2006"
223,JimuBox,Series_A,,,,10000000,"Feb  1, 2014"
224,Between,Series_A,,,,3000000,"Jan  1, 2013"
225,Timebridge,Series_A,,,,1400000,"Jul  5, 2005"
226,Unigo,Series_A,,,,1000000,"Oct 26, 2009"
227,KuponGid,Series_A,,,,500000,"Jan 10, 2012"
228,Zoosk,Series_A,,,,400000,"Nov  1, 2007"
229,Xhale,Series_A,,,,2600000,"Dec 31, 2006"
230,Alethia-BioTherapeutics,Series_A,,,,9200000,"Sep  7, 2010"
231,Renkoo,Series_A,,,,3000000,"Apr  1, 2006"
232,Vertos-Medical,Series_A,,,,725000,"Apr 25, 2006"
233,PureVideo-Networks,Series_A,,,,5600000,"Dec  1, 2005"
234,BookShout,Series_A,,,,2000000,"Nov 15, 2011"
235,StepOut,Series_A,,,,3000000,"Feb 10, 2011"
236,Xometry,Series_A,,,,4000000,"Oct  1, 2013"
237,Innovid,Series_A,,,,3000000,"Jan  1, 2008"
238,PerkStreet-Financial,Series_A,,,,6000000,"Jan  1, 2009"
239,Automatic,Series_A,,,,5300000,"Jun 25, 2013"
240,TurnHere,Series_A,,,,7500000,"Feb 15, 2008"
241,RiskIQ,Series_A,,,,10000000,"Jul 18, 2013"
242,Exosome-Diagnostics,Series_A,,,,20000000,"May 11, 2010"
243,Mendix,Series_A,,,,13000000,"Oct 31, 2011"
244,B-Side-Entertainment,Series_A,,,,3100000,"Oct 11, 2006"
245,Rx-Networks,Series_A,,,,3300000,"May  3, 2007"
246,Tapjoy,Series_A,,,,4500000,"Jun 26, 2007"
247,Bellabox,Series_A,,,,1400000,"Jan 21, 2013"
248,NuoDB,Series_A,,,,10000000,"Dec  1, 2010"
249,Zannel,Series_A,,,,6000000,"Oct  4, 2006"
250,Brightwhistle,Series_A,,,,2100000,"Aug 10, 2012"
251,Sialix,Series_A,,,,1800000,"Jan  1, 2011"
252,Daylight-Solutions,Series_A,,,,7500000,"Jun 28, 2006"
253,Yola,Series_A,,,,5000000,"Nov  1, 2007"
254,Applause,Series_A,,,,2300000,"Oct  1, 2007"
255,Solidfire,Series_A,,,,11000000,"Feb  2, 2011"
256,Sencha,Series_A,,,,14000000,"Jun 23, 2010"
257,clypd,Series_A,,,,7200000,"Nov 21, 2013"
258,MaxWest-Environmental-Systems,Series_A,,,,10000000,"Aug 18, 2008"
259,Nimbula,Series_A,,,,5750000,"Jun 23, 2010"
260,Vangard-Voice-Systems,Series_A,,,,3000000,"Oct 23, 2006"
261,Sentillion,Series_A,,,,2700000,"Mar  1, 1999"
262,Lifeshield-Security,Series_A,,,,6600000,"Sep  1, 2004"
263,ImmuneXcite,Series_A,,,,2500000,"Jan  4, 2012"
264,Medivo,Series_A,,,,7000000,"Nov 17, 2011"
265,BuddyTV,Series_A,,,,2800000,"Jul  1, 2007"
266,BetterCloud,Series_A,,,,5050000,"Jan 10, 2013"
267,Anthemis-Group,Series_A,,,,10900000,"Dec 15, 2011"
268,Berkeley-Design-Automation,Series_A,,,,11250000,"Dec 28, 2002"
269,Airship-Ventures,Series_A,,,,8000000,"May  9, 2008"
270,CrowdTwist,Series_A,,,,6000000,"Sep 19, 2011"
271,Bloomreach,Series_A,,,,5000000,"Sep  1, 2008"
272,LogMeIn,Series_A,,,,10000000,"Nov  1, 2004"
273,Centrillion-Biosciences,Series_A,,,,7500000,"Apr  1, 2010"
274,Heartland-Robotics,Series_A,,,,7000000,"Aug 21, 2009"
275,MarkLogic,Series_A,,,,6000000,"Jan  1, 2002"
276,Massdrop,Series_A,,,,6500000,"Sep  1, 2014"
277,Grovo,Series_A,,,,5500000,"Jul 17, 2013"
278,Sakti3,Series_A,,,,2000000,"Jan  1, 2009"
279,SpineGuard,Series_A,,,,4000000,"Sep 15, 2009"
280,TripleLift,Series_A,,,,4000000,"Mar  5, 2014"
281,nanoMR,Series_A,,,,5500000,"Jun 27, 2008"
282,Supplyframe,Series_A,,,,5000000,"Feb 23, 2005"
283,Outspark,Series_A,,,,4000000,"Apr 11, 2007"
284,AdMeld,Series_A,,,,7000000,"Nov 10, 2008"
285,Eightfold-Logic,Series_A,,,,3200000,"Jun  5, 2008"
286,Secret,Series_A,,,,8600000,"Mar 10, 2014"
287,TheFind,Series_A,,,,7000000,"Feb  1, 2005"
288,Savingstar,Series_A,,,,2300000,"Aug 19, 2010"
289,Modu,Series_A,,,,20000000,"Jun  1, 2007"
290,OpenGamma,Series_A,,,,2150000,"Aug  1, 2009"
291,Revision3,Series_A,,,,1000000,"Sep  1, 2006"
292,Travelata,Series_A,,,,5000000,"Jul  1, 2013"
293,Paddle8,Series_A,,,,4000000,"Feb  8, 2012"
294,AbilTo,Series_A,,,,3000000,"May 14, 2013"
295,Quantance,Series_A,,,,7000000,"Sep 15, 2006"
296,Hitviews,Series_A,,,,1000000,"Mar 31, 2008"
297,TokBox,Series_A,,,,4000000,"Dec 26, 2008"
298,AnchorFree,Series_A,,,,6000000,"Jan  1, 2006"
299,XO-Group,Series_A,,,,1600000,"Jan  1, 1996"
300,Scribd,Series_A,,,,3710000,"Jun  1, 2007"
301,Ginkgo-Bioworks,Series_A,,,,9000000,"Mar 18, 2015"
302,InfoScout,Series_A,,,,5000000,"May  1, 2013"
303,ComparaOnline,Series_A,,,,5000000,"May 13, 2012"
304,TenXer,Series_A,,,,1700000,"Sep  1, 2011"
305,Astaro,Series_A,,,,6200000,"May  1, 2003"
306,Slack,Series_A,,,,5000000,"Apr  1, 2010"
307,Mindflash-Technologies,Series_A,,,,4000000,"Jun  2, 2011"
308,Sonatype,Series_A,,,,4300000,"Jun 30, 2008"
309,TextMaster,Series_A,,,,2000000,"Nov 19, 2012"
310,Silver-Peak-Systems,Series_A,,,,12500000,"Sep 19, 2005"
311,BOKU,Series_A,,,,13000000,"Jun 16, 2009"
312,Squarespace,Series_A,,,,38500000,"Jul 13, 2010"
313,Spanning,Series_A,,,,3000000,"Apr  6, 2011"
314,RightScale,Series_A,,,,4500000,"Apr 24, 2008"
315,iMoney,Series_A,,,,2000000,"Oct 24, 2013"
316,Optoro,Series_A,,,,1900000,"Jan 21, 2011"
317,MUBI,Series_A,,,,750000,"Aug  1, 2007"
318,Chukong-Technologies,Series_A,,,,1200000,"Jan  1, 2011"
319,Anchor-Intelligence,Series_A,,,,2000000,"Jan  1, 2007"
320,Xlerant,Series_A,,,,1200000,"Jan 10, 2008"
321,Simplilearn,Series_A,,,,3000000,"Apr  5, 2012"
322,Instantly,Series_A,,,,1290000,"Apr  1, 2008"
323,Entrade-Energiesysteme-AG,Series_A,,,,54000000,"Dec 31, 2012"
324,Poxel,Series_A,,,,20300000,"Aug 27, 2010"
325,Cyber-Rain,Series_A,,,,1500000,"Jul  8, 2008"
326,Lancope,Series_A,,,,5500000,"Apr 10, 2002"
327,Article-One-Partners,Series_A,,,,3000000,"Dec 15, 2009"
328,FiscalNote,Series_A,,,,7000000,"Nov 19, 2014"
329,Yext,Series_A,,,,1500000,"Jun  1, 2008"
330,Tradesy,Series_A,,,,1500000,"Oct 20, 2012"
331,Infolinks,Series_A,,,,1500000,"Apr  1, 2008"
332,Alfresco,Series_A,,,,2500000,"Jul  1, 2005"
333,Ozmo-Devices,Series_A,,,,12550000,"Mar 30, 2006"
334,DueDil,Series_A,,,,5000000,"Apr 12, 2013"
335,Rapid7,Series_A,,,,7000000,"Sep 17, 2008"
336,ShareThis,Series_A,,,,6000000,"Jan  1, 2007"
337,Xeround,Series_A,,,,6500000,"Mar 17, 2005"
338,CloudMade,Series_A,,,,2400000,"Mar 17, 2008"
339,140-Proof,Series_A,,,,3000000,"Jul  1, 2009"
340,Black-Sand-Technologies,Series_A,,,,8199999,"Jul 30, 2007"
341,Challenge-Games,Series_A,,,,4500000,"Jul 10, 2008"
342,Trellia-Networks,Series_A,,,,3300000,"Jan 10, 2005"
343,BaubleBar,Series_A,,,,1100000,"Nov  5, 2010"
344,Gliknik,Series_A,,,,2900000,"Jan 13, 2010"
345,Appcelerator,Series_A,,,,4100000,"Dec  1, 2008"
346,Beepi,Series_A,,,,5000000,"Apr 15, 2014"
347,Gigaom,Series_A,,,,325000,"Jun  1, 2006"
348,Packlink,Series_A,,,,1500000,"Apr  4, 2013"
349,Nimble-Storage,Series_A,,,,8800000,"Dec 21, 2008"
350,Respiratory-Motion,Series_A,,,,1500000,"Dec 21, 2011"
351,My-Docket,Series_A,,,,3600000,"Mar  6, 2013"
352,Mes-Materiaux,Series_A,,,,1760000,"Jul 14, 2012"
353,AppFirst,Series_A,,,,4000000,"Sep  6, 2011"
354,Vizury-Interactive-Solutions,Series_A,,,,2000000,"Nov 27, 2010"
355,Descomplica,Series_A,,,,1500000,"Nov 19, 2012"
356,Plastic-Jungle,Series_A,,,,6000000,"Jan  1, 2009"
357,Coub,Series_A,,,,1000000,"Jul 18, 2013"
358,OptiMine-Software,Series_A,,,,1100000,"Jan  5, 2011"
